id,name,synonyms,category,kcal,fat,protein
275,Cashewnuss,Cashewkern,"Nüsse, Samen und Ölfrüchte",593,45.2,18.2
1081,Cervelat,Chlöpfer;Stumpen;Bockwurst,Fleisch- und Wurstwaren/Brühwurstware,249,21.5,13.4
629,Champignon (Konserve),,Gemüse/Pilze,19,0.3,2.3
1037,"Champignon, gedünstet (ohne Zugabe von Fett und Salz)",,Gemüse/Pilze,27,0.4,3.5
375,"Champignon, roh",,Gemüse/Pilze,22,0.3,2.9
1006,"Chicorée, gedämpft (ohne Zugabe von Salz)",Brüsseler Endivie,Gemüse/Gemüse gekocht (inkl. Konserven),14,0.2,1
447,"Chicorée, roh",Brüsseler Endivie,Gemüse/Gemüse frisch,14,0.2,1
1648,"Chili con carne, zubereitet",,Gerichte/Eintöpfe und Suppen,125,4.4,10.8
1007,"Chinakohl, gedünstet (ohne Zugabe von Fett und Salz)",Pekingkohl;Selleriekohl;Japankohl,Gemüse/Gemüse gekocht (inkl. Konserven),16,0.3,1.2
437,"Chinakohl, roh",Pekingkohl;Selleriekohl;Japankohl,Gemüse/Gemüse frisch,16,0.3,1.1
867,Chräbeli (Anisgebäck),,Süssigkeiten/Guetzli,366,3,8.5
458,"Cicorino rot, roh",,Gemüse/Gemüse frisch,19,0.1,1.4
1683,"Cocktailsauce, selbst zubereitet mit Rapsöl-Mayonnaise",,Verschiedenes/Saucen,695,74.4,2.4
498,"Colagetränk, gezuckert",,Alkoholfreie Getränke/Süssgetränke,40,0,0
499,"Colagetränk, mit Süssstoffen",,Alkoholfreie Getränke/Süssgetränke energievermindert,0,0,0
1573,"Coleslaw Salat, zubereitet",,Gerichte/Salate,120,10.3,1.7
715,Coppa,,Fleisch- und Wurstwaren/Rohwurstware,319,22.5,28.8
1649,"Cordon Bleu aus Kalbsplätzli, gebraten",,Fleisch und Innereien/Kalb,240,11.4,23.9
1650,"Cordon Bleu aus Schweinsplätzli, gebraten",,Fleisch und Innereien/Schwein,249,12.2,24.2
940,Cornflakes,,"Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien",359,0.6,7.2
758,Cotechino,,Fleisch- und Wurstwaren/Kochwurstware,450,42.3,17.2
1093,Cotto (Fleischerzeugnis),,Fleisch- und Wurstwaren/Kochwurstware,93,3.1,15.7
950,"Cracker, Salzgebäck, Apérogebäck",,Salzige Snacks/Salzsticks und Bretzel,449,15.9,9.2
924,Crèmeschnitte,,Süssigkeiten/Sonstige süsse Backwaren,318,18.3,3.5
1489,"Crêpes mit Camembert, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,249,15.6,11.9
1491,"Crêpes mit Champignonfüllung, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,137,9,5.3
1493,"Crêpes mit Gemüsefüllung, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,165,9.3,6
1494,"Crêpes mit Nutella, zubereitet",,Gerichte/Sonstige süsse Gerichte,376,22.1,7.7
1495,"Crêpes mit Schinken, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,193,9.8,12.8
1496,"Crêpes mit Speck, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,253,16.4,11.2
1488,"Crêpes mit Zimt und Zucker, zubereitet",,Gerichte/Sonstige süsse Gerichte,256,11.7,8.2
